id;Title;Content;SKU;Product Type;Parent Product ID;Price;Regular Price;Sale Price;Product Type_1;Категорії товарів
689;LED Лампа EUROLAMP А70-15W-E27-3000K;"EUROLAMP LED Лампа А70 15W E27 3000K

LED EКO – серія високоякісних світлодіодних ламп, що пропонує LED технології за доступними цінами. Назва LED EКO – характеризує екологічність LED технологій, а також экономність та доступність даної серії ламп.

Переваги LED Лампи ЕКО A0 15W E27 3000K :
<ul>
 	<li>збільшений кут розсіювання світла;</li>
 	<li>діапазон робочих температур (навколишнього середовища) від -20 до +40</li>
 	<li>використовуються якісні світлодіодні чіпи та IC драйвер нового покоління.</li>
</ul>
У всіх лампах сериї ЕКО вмонтовано IC драйвер ― запобігає мерехтінню, робить лампу безпечною для зору людини (коефіцієнт пульсації &lt; 5%).";LED-A70-15272(P);simple;0;;99;;simple;LED лампи>led лампи Запоріжжя|LED лампи>LED лампи Львів|LED лампи>led лампи Миколаїв|LED лампи>LED лампи Одеса|LED лампи>led лампи Харків|LED лампи>Лед лампи Вінниця|LED лампи>Світлодіодні лампи Дніпро|LED лампи>LED лампи класичні|АКЦІЇ/РОЗПРОДАЖ
693;LED Лампа EUROLAMP А60-12W-E27-3000K;"EUROLAMP LED Лампа А60 12W E27 3000K

Світлодіодна лампа Eurolamp ЕКО A60 12W E27 3000K призначена для застосування як основне освітлення в житлових та побутових приміщеннях.
У виробництві ламп застосовано особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Завдяки даному екологічному пластику, лампа є абсолютно безпечною для здоров'я людини та навколишнього середовища.
Лампа витримує перепади напруги в діапазоні 175-250V без негативних наслідків для працездатності.

Особливості:
<ul class=""list"">
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для работи інших електричних приладів.</li>
</ul>";LED-A60-12273(P);simple;0;;91.98;;simple;LED лампи>led лампи Запоріжжя|LED лампи>LED лампи Львів|LED лампи>led лампи Миколаїв|LED лампи>LED лампи Одеса|LED лампи>led лампи Харків|LED лампи>Лед лампи Вінниця|LED лампи>Світлодіодні лампи Дніпро|LED лампи>LED лампи класичні|АКЦІЇ/РОЗПРОДАЖ
696;LED Лампа А60-10W-E27-3000K EUROLAMP;"EUROLAMP LED Лампа ЕКО А60 10W E27 3000K

Світлодіодна лампа Eurolamp ЕКО A60 10W E27 3000K призначена для застосування як основне освітлення в житлових та побутових приміщеннях.
У виробництві ламп застосовано особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Завдяки даному екологічному пластику, лампа є абсолютно безпечною для здоров'я людини та навколишнього середовища.
Лампа витримує перепади напруги в діапазоні 175-265V без негативних наслідків для працездатності.

Особливості:
<ul class=""list"">
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для работи інших електричних приладів.</li>
</ul>";LED-A60-10273(P);simple;0;;79.02;;simple;LED лампи>led лампи Запоріжжя|LED лампи>LED лампи Львів|LED лампи>led лампи Миколаїв|LED лампи>LED лампи Одеса|LED лампи>led лампи Харків|LED лампи>Лед лампи Вінниця|LED лампи>Світлодіодні лампи Дніпро|LED лампи>LED лампи класичні|АКЦІЇ/РОЗПРОДАЖ
1028;LED Лампа точкова MR16-7W-GU5.3-3000K  EUROLAMP;"Точкова світлодіодна EUROLAMP LED Лампа ЕКО MR16 7W GU5.3 3000K

Точкові світлодіодні лампи використовуються для створення зонування в приміщенні і розміщуються над тими зонами, де вони найбільше потрібні. Це економно - не потрібно висвітлювати ті ділянки де світло не потрібне, і комфортно для очей - виключається зайвий подразник. Все це формує особливу атмосферу умиротворення і комфорту, і що найважливіше - такий інтер'єр залишається цікавим багато років, не втрачаючи своєї актуальності.

Також, точкові лампи використовуються, як додаткове світло над робочими зонами: на кухні, над письмовим столом, біля дзеркала.

При виробництві лампи використовується особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Є абсолютно безпечною для здоров'я людини і навколишнього середовища завдяки даному екологічному пластику.

Лампа забезпечує приміщення якісним світлом без мерехтінь і відблисків.

Лампа здатна дати потужний світловий потік, який становить 570 Lm, при невеликому споживанні потужності світлодіода.

Лампа витримує перепади напруги в діапазоні 175-250 V без наслідків працездатності.

Особливості ламп ТМ Eurolamp:
<ul class=""list"">
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для роботи інших електронних пристроїв.</li>
</ul>";LED-SMD-07533(P);simple;0;;99;;simple;LED лампи>led лампи Запоріжжя|LED лампи>LED лампи Львів|LED лампи>led лампи Миколаїв|LED лампи>LED лампи Одеса|LED лампи>led лампи Харків|LED лампи>Лед лампи Вінниця|LED лампи>Світлодіодні лампи Дніпро|LED лампи>LED лампи точкові|АКЦІЇ/РОЗПРОДАЖ
1981;LED Світильник EUROLAMP з пультом керування Van Gogh 60W RGB 3000-6500K;"Світлодіодний EUROLAMP LED Світильник SMART LIGHT Van Gogh 60W RGB 3000-6500K

Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульта управління. Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.
У режимі максимального рівня освітленості, світильник SmartLight 60W RGB видає 4950Lm світлового потоку, що дозволить висвітлити приміщення стандартного типу площею до 25 м2

Також, світильник SmartLight володіє додатковими функціями для зручності використання. Такими як:
<ul>
 	<li>зміна кольорів освітлення, функція RGB;</li>
 	<li>градація в процентах рівня освітленості (20%, 50%, 100%);</li>
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>режим нічника;</li>
 	<li>таймер автоматичного вимкнення.</li>
</ul>
[ux_video url=""https://www.youtube.com/watch?v=QNQtM3Fue8o""]";LED-SL-60W-N17(RGB);simple;0;;1398;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
1990;LED Світильник з пультом керування Van Gogh RGB 48W-3000-6500K EUROLAMP;"Світлодіодний EUROLAMP LED Світильник квадратний SMART LIGHT Van Gogh 48W RGB 3000-6500K

Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульта управління. Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.
У режимі максимального рівня освітленості, світильник SmartLight 48W RGB видає 3960Lm світлового потоку, що дозволить висвітлити приміщення стандартного типу площею до 20 м2

Також, світильник SmartLight володіє додатковими функціями для зручності використання. Такими як:
<ul class=""list"">
 	<li>зміна кольорів освітлення, функція RGB;</li>
 	<li>градація в процентах рівня освітленості (20%, 50%, 100%);</li>
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>режим нічника;</li>
 	<li>таймер автоматичного вимкнення.</li>
</ul>
[ux_video url=""https://www.youtube.com/watch?v=QNQtM3Fue8o""]";LED-SLS-48W-N17(RGB);simple;0;;1389;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
1994;LED Світильник з пультом керування Van Gogh RGB 48W-3000-6500K EUROLAMP;"Світлодіодний EUROLAMP LED Світильник SMART LIGHT Van Gogh 48W RGB 3000-6500K

Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульта управління. Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.
У режимі максимального рівня освітленості, світильник SmartLight 48W RGB видає 3960Lm світлового потоку, що дозволить висвітлити приміщення стандартного типу площею до 20 м2

Також, світильник SmartLight володіє додатковими функціями для зручності використання. Такими як:
<ul class=""list"">
 	<li>зміна кольорів освітлення, функція RGB;</li>
 	<li>градація в процентах рівня освітленості (20%, 50%, 100%);</li>
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>режим нічника;</li>
 	<li>таймер автоматичного вимкнення.</li>
</ul>
[ux_video url=""https://www.youtube.com/watch?v=QNQtM3Fue8o""]";LED-SL-48W-N17(RGB);simple;0;;1378.98;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
2010;LED Світильник з пультом керування 50W-3000K-6500K EUROLAMP;"EUROLAMP LED Світильник SMARTLIGHT LIGHT Crystal Square T16 50W 3000K-6500K

Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульту управління.
Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.

У режимі максимального рівня освітленості, світильник SmartLight 50W видає 4000Lm світлового потоку.
Даний тип світильників рекомендовано використовувати в приміщеннях типу: кухні, віталень, спалень, дитячих кімнат.

Мінімалістичний універсальний дизайн світильника підійде під будь-який стиль приміщення.
Також, світильник SmartLight володіє безліччю додаткових функцій і режимів для зручності використання. Таких як:
<ul>
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>таймер автоматичного вимкнення;</li>
 	<li>управління яскравістю;</li>
 	<li>режим нічника;</li>
</ul>";LED-SL-50W-T16;simple;0;;1450.02;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
2011;LED Світильник з пультом керування 50W-3000K-6500K EUROLAMP;"EUROLAMP LED Світильник SMARTLIGHT LIGHT Penny T19 50W 3000K-6500K

Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульту управління.
Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.

У режимі максимального рівня освітленості, світильник SmartLight 50W видає 4000Lm світлового потоку.
Даний тип світильників рекомендовано використовувати в приміщеннях типу: кухні, віталень, спалень, дитячих кімнат.

Мінімалістичний універсальний дизайн світильника підійде під будь-який стиль приміщення.
Також, світильник SmartLight володіє безліччю додаткових функцій і режимів для зручності використання. Таких як:
<ul>
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>таймер автоматичного вимкнення;</li>
 	<li>управління яскравістю;</li>
 	<li>режим нічника;</li>
</ul>";LED-SL-50W-T19;simple;0;;1249.98;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
2013;LED Світильник з пультом керування Van Gogh RGB 24W-3000-6500K EUROLAMP;"Світлодіодний EUROLAMP LED Світильник SMART LIGHT Van Gogh 24W RGB 3000-6500K

Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульта управління. Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.
У режимі максимального рівня освітленості, світильник SmartLight 24W RGB видає 2200Lm світлового потоку, що дозволить висвітлити приміщення стандартного типу площею до 15 м2

Також, світильник SmartLight 24W RGB володіє додатковими функціями для зручності використання. Такими як:
<ul>
 	<li>зміна кольорів освітлення, функція RGB;</li>
 	<li>градація в процентах рівня освітленості (20%, 50%, 100%);</li>
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>режим нічника;</li>
 	<li>таймер автоматичного вимкнення.</li>
</ul>
[ux_video url=""https://www.youtube.com/watch?v=QNQtM3Fue8o""]";LED-SL-24W-N17(RGB);simple;0;;1099.02;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
