id;Title;Content;SKU;Product Type;Regular Price;Sale Price;Stock
202;LED Лампа А75-20W-E27-3000K EUROLAMP;"EUROLAMP LED Лампа А75 20W E27 3000K

LED EКO – серія високоякісних світлодіодних ламп, що пропонує LED технології за доступними цінами. Назва LED EКO – характеризує екологічність LED технологій, а також экономність та доступність даної серії ламп.

Переваги LED Лампи ЕКО A75 20W E27 3000K :
<ul class=""list"">
 	<li>збільшений кут розсіювання світла;</li>
 	<li>діапазон робочих температур (навколишнього середовища) від -20 до +40</li>
 	<li>використовуються якісні світлодіодні чіпи та IC драйвер нового покоління.</li>
</ul>
У всіх лампах сериї ЕКО вмонтовано IC драйвер ― запобігає мерехтінню, робить лампу безпечною для зору людини (коефіцієнт пульсації &lt; 5%).";LED-A75-20272(P);simple;136.02;115,62;23
557;LED Лампа А75-20W-E27-4000K  EUROLAMP;"EUROLAMP LED Лампа А75 20W E27 4000K

LED EКO – серія високоякісних світлодіодних ламп, що пропонує LED технології за доступними цінами. Назва LED EКO – характеризує екологічність LED технологій, а також экономність та доступність даної серії ламп.

Переваги LED Лампи ЕКО A75 20W E27 4000K :
<ul class=""list"">
 	<li>збільшений кут розсіювання світла;</li>
 	<li>діапазон робочих температур (навколишнього середовища) від -20 до +40</li>
 	<li>використовуються якісні світлодіодні чіпи та IC драйвер нового покоління.</li>
</ul>
У всіх лампах сериї ЕКО вмонтовано IC драйвер ― запобігає мерехтінню, робить лампу безпечною для зору людини (коефіцієнт пульсації &lt; 5%).";LED-A75-20274(P);simple;136.02;115,62;380
689;LED Лампа EUROLAMP А70-15W-E27-3000K;"EUROLAMP LED Лампа А70 15W E27 3000K

LED EКO – серія високоякісних світлодіодних ламп, що пропонує LED технології за доступними цінами. Назва LED EКO – характеризує екологічність LED технологій, а також экономність та доступність даної серії ламп.

Переваги LED Лампи ЕКО A0 15W E27 3000K :
<ul>
 	<li>збільшений кут розсіювання світла;</li>
 	<li>діапазон робочих температур (навколишнього середовища) від -20 до +40</li>
 	<li>використовуються якісні світлодіодні чіпи та IC драйвер нового покоління.</li>
</ul>
У всіх лампах сериї ЕКО вмонтовано IC драйвер ― запобігає мерехтінню, робить лампу безпечною для зору людини (коефіцієнт пульсації &lt; 5%).";LED-A70-15272(P);simple;99;84,18;3038
690;LED Лампа А70-15W-E27-4000K  EUROLAMP;"[real3dflipbook pdf=""https://eurolamp.ua/shop/wp-content/uploads/led-a70-15274r-2.pdf""]

<strong>LED Лампа EUROLAMP A70-15W-E27-4000K</strong> — це сучасне та енергоефективне рішення для освітлення приміщень, що відповідає високим стандартам якості. Ця лампа споживає всього 15 Вт електроенергії, замінюючи при цьому традиційну лампу розжарювання потужністю 150 Вт. Завдяки стандартному цоколю E27, її можна легко встановити в будь-який звичайний патрон.

Зі світловим потоком 1200 Лм і ефективністю 80 Лм/Вт, лампа забезпечує яскраве нейтрально-біле світло з температурою 4000K, що є ідеальним варіантом для робочих зон, офісів або кухонь. Використовує високоякісні світлодіоди SANAN Optoelectronics SMD2835, що забезпечують стабільну роботу та високу енергоефективність.

Кут освітлення 300° гарантує рівномірне освітлення великих площ, а швидкий старт лампи (менше 0,5 секунд до 60% яскравості) забезпечує комфортне використання. Високий індекс передачі кольору (Ra &gt; 80) гарантує природну передачу кольорів, що робить освітлення приємним для очей.

Лампа працює в діапазоні напруги від 175 до 265 В, що робить її стійкою до перепадів напруги. Також вона має низьке енергоспоживання (105 мА) та високий коефіцієнт потужності (PF &gt; 0,6), що сприяє її ефективності.

Корпус виготовлений з поєднання алюмінію та пластику (Aluplast), що забезпечує ефективне охолодження та тривалий термін служби до 40 000 годин. Лампа має клас енергоефективності А+ і ступінь захисту IP20, що робить її придатною для використання в закритих приміщеннях з температурою від -20°C до +40°C.

Лампа EUROLAMP оснащена вбудованим EMC-фільтром, який зменшує електромагнітні перешкоди, забезпечуючи стабільну роботу електропристроїв поряд. Її розміри 138х70 мм і вага 0,078 кг дозволяють використовувати лампу в різних типах світильників. Гарантійний термін — 2 роки.

LED лампа EUROLAMP A70-15W-E27-4000K постачається у заводській упаковці з технічним паспортом і керівництвом з експлуатації.";LED-A70-15274(P);simple;99;84,18;4129
692;LED Лампа EUROELECTRIC А60-15W-E27-4000K;"EUROELECTRIC LED Лампа А60 15W E27 4000K

Світлодіодна лампа EUROELECTRIC A60 15W E27 4000K призначена для застосування як основне освітлення в житлових та побутових приміщеннях.
У виробництві ламп застосовано особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Завдяки даному екологічному пластику, лампа є абсолютно безпечною для здоров'я людини та навколишнього середовища.
Лампа витримує перепади напруги в діапазоні 175-250V без негативних наслідків для працездатності.

Особливості:
<ul class=""list"">
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для работи інших електричних приладів.</li>
</ul>";LED-A60-15274(EE);simple;99;84,18;2342
693;LED Лампа EUROLAMP А60-12W-E27-3000K;"EUROLAMP LED Лампа А60 12W E27 3000K

Світлодіодна лампа Eurolamp ЕКО A60 12W E27 3000K призначена для застосування як основне освітлення в житлових та побутових приміщеннях.
У виробництві ламп застосовано особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Завдяки даному екологічному пластику, лампа є абсолютно безпечною для здоров'я людини та навколишнього середовища.
Лампа витримує перепади напруги в діапазоні 175-250V без негативних наслідків для працездатності.

Особливості:
<ul class=""list"">
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для работи інших електричних приладів.</li>
</ul>";LED-A60-12273(P);simple;91.98;78,18;6017
694;LED Лампа EUROLAMP А60-12W-E27-4000K;"EUROLAMP LED Лампа ЕКО А60 12W E27 4000K

Світлодіодна лампа Eurolamp ЕКО A60 12W E27 4000K призначена для застосування як основне освітлення в житлових та побутових приміщеннях.
У виробництві ламп застосовано особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Завдяки даному екологічному пластику, лампа є абсолютно безпечною для здоров'я людини та навколишнього середовища.
Лампа витримує перепади напруги в діапазоні 175-265V без негативних наслідків для працездатності.

Особливості:
<ul class=""list"">
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для работи інших електричних приладів.</li>
</ul>";LED-A60-12274(P);simple;91.98;78,18;3952
695;LED Лампа EUROLAMP А60-10W-E27-4000K;"EUROLAMP LED Лампа ЕКО А60 10W E27 4000K

Світлодіодна лампа Eurolamp ЕКО A60 10W E27 4000K призначена для застосування як основне освітлення в житлових та побутових приміщеннях.
У виробництві ламп застосовано особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Завдяки даному екологічному пластику, лампа є абсолютно безпечною для здоров'я людини та навколишнього середовища.
Лампа витримує перепади напруги в діапазоні 175-265V без негативних наслідків для працездатності.

Особливості:
<ul>
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для работи інших електричних приладів.</li>
</ul>";LED-A60-10274(P);simple;79.02;67,14;5981
696;LED Лампа А60-10W-E27-3000K EUROLAMP;"EUROLAMP LED Лампа ЕКО А60 10W E27 3000K

Світлодіодна лампа Eurolamp ЕКО A60 10W E27 3000K призначена для застосування як основне освітлення в житлових та побутових приміщеннях.
У виробництві ламп застосовано особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Завдяки даному екологічному пластику, лампа є абсолютно безпечною для здоров'я людини та навколишнього середовища.
Лампа витримує перепади напруги в діапазоні 175-265V без негативних наслідків для працездатності.

Особливості:
<ul class=""list"">
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для работи інших електричних приладів.</li>
</ul>";LED-A60-10273(P);simple;79.02;67,14;5317
697;LED Лампа EUROELECTRIC А60-12W-E27-4000K;"EUROELECTRIC LED Лампа А60 12W E27 4000K

Світлодіодна лампа EUROELECTRIC A60 12W E27 4000K призначена для застосування як основне освітлення в житлових та побутових приміщеннях.
У виробництві ламп застосовано особливий полімерний сплав, для створення якого використовується сучасна технологія хімічної обробки. Завдяки даному екологічному пластику, лампа є абсолютно безпечною для здоров'я людини та навколишнього середовища.
Лампа витримує перепади напруги в діапазоні 220-240V без негативних наслідків для працездатності.

Особливості:
<ul class=""list"">
 	<li>використання у всіх лампах IC драйвера нового покоління;</li>
 	<li>підвищена енергоефективність;</li>
 	<li>екологічно безпечні, не містять шкідливих речовин;</li>
 	<li>не створюють частотних перешкод для работи інших електричних приладів.</li>
</ul>";LED-A60-12274(EE);simple;70.98;60,36;4424
