id;Title;Content;SKU;Product Type;Parent Product ID;Regular Price;Sale Price;Stock;Категорії товарів
4585;LED Лампа EUROLAMP А70-15W-E27-3000K;"Классическая светодиодная EUROLAMP LED Лампа ЭКО А70 15W E27 3000K

LED ЕКО - серия высококачественных светодиодных ламп, предлагающая LED технологии по доступным ценам. Название LED ЕКО - характеризует экологичность LED технологий, а также экономность и доступность данной серии ламп.

Преимущества LED Лампы ЭКО A0 15W E27 3000K :
<ul class=""list"">
 	<li>увеличенный угол рассеивания света;</li>
 	<li>диапазон рабочих температур (окружающей среды) от -20 до +40</li>
 	<li>используются качественные светодиодные чипы и IC драйвер нового поколения.</li>
</ul>
Во всех лампах серии ЭКО вмонтирован IC драйвер – предотвращает мерцание, делает лампу безопасной для зрения человека (коэффициент пульсации – 5%).";LED-A70-15272(P);simple;0;99;;2334;LED лампы>LED лампа Кривой Рог|LED лампы>LED лампа Полтава|LED лампы>LED лампа Черкассы|LED лампы>LED лампы Запорожье|LED лампы>LED лампы Николаев|LED лампы>LED лампы Одесса|LED лампы>Лед лампы Винница|LED лампы>Светодиодные лампы Днепр|LED лампы>LED лампы Львов|LED лампы>LED лампы Харьков|LED лампы>LED лампы классические|АКЦИИ/РАСПРОДАЖА
4591;LED Лампа EUROLAMP А60-12W-E27-3000K;"Классическая светодиодная EUROLAMP LED Лампа ЭКО А60 12W E27 3000K

Светодиодная лампа Eurolamp ЭКО A60 12W E27 3000K предназначена для применения в качестве основного освещения в жилых и бытовых помещениях.
В производстве ламп применен особый полимерный сплав, для создания которого используется современная технология химической обработки. Благодаря данному экологическому пластику, лампа является абсолютно безопасной для здоровья человека и окружающей среды.
Лампа выдерживает перепады напряжения в диапазоне 175-250V без негативных последствий для работоспособности.

Особенности:
<ul class=""list"">
 	<li>использование во всех лампах IC драйвера нового поколения;</li>
 	<li>повышенная энергоэффективность;</li>
 	<li>экологически безопасны, не содержат вредных веществ;</li>
 	<li>не создают частотных помех для работы других электрических приборов.</li>
</ul>";LED-A60-12273(P);simple;0;91.98;;5118;LED лампы>LED лампа Кривой Рог|LED лампы>LED лампа Полтава|LED лампы>LED лампа Черкассы|LED лампы>LED лампы Запорожье|LED лампы>LED лампы Николаев|LED лампы>LED лампы Одесса|LED лампы>Лед лампы Винница|LED лампы>Светодиодные лампы Днепр|LED лампы>LED лампы Львов|LED лампы>LED лампы Харьков|LED лампы>LED лампы классические|АКЦИИ/РАСПРОДАЖА
4595;LED Лампа EUROLAMP А60-10W-E27-3000K;"Классическая светодиодная EUROLAMP LED Лампа ЭКО А60 10W E27 3000K

Светодиодная лампа Eurolamp ЭКО A60 10W E27 3000K предназначена для применения в качестве основного освещения в жилых и бытовых помещениях.
В производстве ламп применен особый полимерный сплав, для создания которого используется современная технология химической обработки. Благодаря данному экологическому пластику, лампа является абсолютно безопасной для здоровья человека и окружающей среды.
Лампа выдерживает перепады напряжения в диапазоне 175-250V без негативных последствий для работоспособности.

Особенности:
<ul class=""list"">
 	<li>использование во всех лампах IC драйвера нового поколения;</li>
 	<li>повышенная энергоэффективность;</li>
 	<li>экологически безопасны, не содержат вредных веществ;</li>
 	<li>не создают частотных помех для работы других электрических приборов.</li>
</ul>";LED-A60-10273(P);simple;0;79.02;;4365;LED лампы>LED лампа Кривой Рог|LED лампы>LED лампа Полтава|LED лампы>LED лампа Черкассы|LED лампы>LED лампы Запорожье|LED лампы>LED лампы Николаев|LED лампы>LED лампы Одесса|LED лампы>Лед лампы Винница|LED лампы>Светодиодные лампы Днепр|LED лампы>LED лампы Львов|LED лампы>LED лампы Харьков|LED лампы>LED лампы классические|АКЦИИ/РАСПРОДАЖА
4658;LED Лампа точечная MR16-7W-GU5.3-3000K  EUROLAMP;"Точечная светодиодная EUROLAMP LED Лампа ЭКО MR16 7W GU5.3 3000K

Точечные светодиодные лампы используются для создания зонирования в помещении и размещаются над теми зонами, где они больше всего нужны. Это экономно - не нужно освещать те участки где свет не нужен, и комфортно для глаз - исключается лишний раздражитель. Все это формирует особую атмосферу умиротворения и комфорта, и что самое важное - такой интерьер остается интересным много лет, не теряя своей актуальности.

Также, точечные лампы используются, как дополнительный свет над рабочими зонами: на кухне, над письменным столом, возле зеркала.

При производстве лампы используется особый полимерный сплав, для создания которого используется современная технология химической обработки. Является абсолютно безопасной для здоровья человека и окружающей среды благодаря данному экологическому пластику.

Лампа обеспечивает помещение качественным светом без мерцаний и бликов.

Лампа способна дать мощный световой поток, который составляет 570 Lm, при небольшом потреблении мощности светодиода.

Лампа выдерживает перепады напряжения в диапазоне 175-250 V без последствий работоспособности.

Особенности ламп ТМ Eurolamp:
<ul class=""list"">
 	<li>использование во всех лампах IC драйвера нового поколения;</li>
 	<li>повышенная энергоэффективность;</li>
 	<li>экологически безопасны, не содержат вредных веществ;</li>
 	<li>не создают частотных помех для работы других электронных устройств.</li>
</ul>";LED-SMD-07533(P);simple;0;99;;149;LED лампы>LED лампа Кривой Рог|LED лампы>LED лампа Полтава|LED лампы>LED лампа Черкассы|LED лампы>LED лампы Запорожье|LED лампы>LED лампы Николаев|LED лампы>LED лампы Одесса|LED лампы>Лед лампы Винница|LED лампы>Светодиодные лампы Днепр|LED лампы>LED лампы Львов|LED лампы>LED лампы Харьков|LED лампы>LED лампы точечные|АКЦИИ/РАСПРОДАЖА
4775;LED Светильник EUROLAMP с пультом управления Van Gogh 60W RGB 3000-6500K;"Светодиодный EUROLAMP LED Светильник SMART LIGHT Van Gogh 60W RGB 3000-6500K

Особенность данного вида светильников - это возможность управления температурой свечения и световым потоком с помощью пульта управления. Простой в установке и практичный в использовании, светильник SmartLight поможет Вам сэкономить не только средства, но и время, ведь теперь для регулировки освещенности в помещении есть пульт.
В режиме максимального уровня освещенности, светильник SmartLight 60W RGB выдает 4950Lm светового потока, что позволит осветить помещение стандартного типа площадью до 25 м2

Также, светильник SmartLight обладает дополнительными функциями для удобства использования. Такими как:
<ul>
 	<li>изменение цветов освещения, функция RGB;</li>
 	<li>градация в процентах уровня освещенности (20%, 50%, 100%);</li>
 	<li>управление цветовой температурой от 3000К до 6500К;</li>
 	<li>режим ночника;</li>
 	<li>таймер автоматического выключения.</li>
</ul>";LED-SL-60W-N17(RGB);simple;0;1398;;162;LED светильники>LED светильники Винница|LED светильники>LED светильники Днепр|LED светильники>LED светильники Запорожье|LED светильники>LED светильники Одесса|LED светильники>LED светильники Харьков|LED светильники>LED светильники с пультом управления|АКЦИИ/РАСПРОДАЖА
4779;LED Светильник с пультом управления Van Gogh RGB 48W-3000-6500K EUROLAMP;"Светодиодный EUROLAMP LED Светильник квадратный SMART LIGHT Van Gogh 48W RGB 3000-6500K

Особенность данного вида светильников - это возможность управления температурой свечения и световым потоком с помощью пульта управления. Простой в установке и практичный в использовании, светильник SmartLight поможет Вам сэкономить не только средства, но и время, ведь теперь для регулировки освещенности в помещении есть пульт.
В режиме максимального уровня освещенности, светильник SmartLight 48W RGB выдает 3960Lm светового потока, что позволит осветить помещение стандартного типа площадью до 20 м2

Также, светильник SmartLight обладает дополнительными функциями для удобства использования. Такими как:
<ul class=""list"">
 	<li>изменение цветов освещения, функция RGB;</li>
 	<li>градация в процентах уровня освещенности (20%, 50%, 100%);</li>
 	<li>управление цветовой температурой от 3000К до 6500К;</li>
 	<li>режим ночника;</li>
 	<li>таймер автоматического выключения.</li>
</ul>";LED-SLS-48W-N17(RGB);simple;0;1389;;106;LED светильники>LED светильники Винница|LED светильники>LED светильники Днепр|LED светильники>LED светильники Запорожье|LED светильники>LED светильники Одесса|LED светильники>LED светильники Харьков|LED светильники>LED светильники с пультом управления|АКЦИИ/РАСПРОДАЖА
4782;LED Светильник с пультом управления Van Gogh RGB 48W-3000-6500K EUROLAMP;"Светодиодный EUROLAMP LED Светильник SMART LIGHT Van Gogh 48W RGB 3000-6500K

Особенность данного вида светильников - это возможность управления температурой свечения и световым потоком с помощью пульта управления. Простой в установке и практичный в использовании, светильник SmartLight поможет Вам сэкономить не только средства, но и время, ведь теперь для регулировки освещенности в помещении есть пульт.
В режиме максимального уровня освещенности, светильник SmartLight 48W RGB выдает 3960Lm светового потока, что позволит осветить помещение стандартного типа площадью до 20 м2

Также, светильник SmartLight обладает дополнительными функциями для удобства использования. Такими как:
<ul class=""list"">
 	<li>изменение цветов освещения, функция RGB;</li>
 	<li>градация в процентах уровня освещенности (20%, 50%, 100%);</li>
 	<li>управление цветовой температурой от 3000К до 6500К;</li>
 	<li>режим ночника;</li>
 	<li>таймер автоматического выключения.</li>
</ul>";LED-SL-48W-N17(RGB);simple;0;1378.98;;396;LED светильники>LED светильники Винница|LED светильники>LED светильники Днепр|LED светильники>LED светильники Запорожье|LED светильники>LED светильники Одесса|LED светильники>LED светильники Харьков|LED светильники>LED светильники с пультом управления|АКЦИИ/РАСПРОДАЖА
4797;LED Светильник с пультом управления Crystal Square 50W-3000K-6500K EUROLAMP;"Светодиодный EUROLAMP LED Светильник SMARTLIGHT LIGHT Crystal Square T16 50W 3000K-6500K

Особенность данного вида светильников - это возможность управления температурой свечения и световым потоком с помощью пульта управления.
Простой в установке и практичный в использовании, светильник SmartLight поможет Вам сэкономить не только средства, но и время, ведь теперь для регулировки освещенности в помещении есть пульт.

В режиме максимального уровня освещенности, светильник SmartLight 50W выдает 4000Lm светового потока.
Данный тип светильников рекомендуется использовать в помещениях типа: кухни, гостиных, спален, детских комнат.

Минималистичный универсальный дизайн светильника подойдет под любой стиль помещения.
Также, светильник SmartLight обладает множеством дополнительных функций и режимов для удобства использования. Таких как:
<ul>
 	<li>управление цветовой температурой от 3000К до 6500К;</li>
 	<li>таймер автоматического выключения;</li>
 	<li>управление яркостью;</li>
 	<li>режим ночника;</li>
 	<li>режим памяти.</li>
</ul>";LED-SL-50W-T16;simple;0;1450.02;;94;LED светильники>LED светильники Винница|LED светильники>LED светильники Днепр|LED светильники>LED светильники Запорожье|LED светильники>LED светильники Одесса|LED светильники>LED светильники Харьков|LED светильники>LED светильники с пультом управления|АКЦИИ/РАСПРОДАЖА
4799;LED Светильник с пультом управления Penny 50W-3000K-6500K EUROLAMP;"Светодиодный EUROLAMP LED Светильник SMARTLIGHT LIGHT Penny T19 50W 3000K-6500K

Особенность данного вида светильников - это возможность управления температурой свечения и световым потоком с помощью пульта управления.
Простой в установке и практичный в использовании, светильник SmartLight поможет Вам сэкономить не только средства, но и время, ведь теперь для регулировки освещенности в помещении есть пульт.

В режиме максимального уровня освещенности, светильник SmartLight 50W выдает 4000Lm светового потока.
Данный тип светильников рекомендуется использовать в помещениях типа: кухни, гостиных, спален, детских комнат.

Минималистичный универсальный дизайн светильника подойдет под любой стиль помещения.
Также, светильник SmartLight обладает множеством дополнительных функций и режимов для удобства использования. Таких как:
<ul>
 	<li>управление цветовой температурой от 3000К до 6500К;</li>
 	<li>таймер автоматического выключения;</li>
 	<li>управление яркостью;</li>
 	<li>режим ночника;</li>
 	<li>режим памяти.</li>
</ul>";LED-SL-50W-T19;simple;0;1249.98;;9;LED светильники>LED светильники Винница|LED светильники>LED светильники Днепр|LED светильники>LED светильники Запорожье|LED светильники>LED светильники Одесса|LED светильники>LED светильники Харьков|LED светильники>LED светильники с пультом управления|АКЦИИ/РАСПРОДАЖА
4801;LED Светильник с пультом управления Van Gogh RGB 24W-3000-6500K EUROLAMP;"Светодиодный EUROLAMP LED Светильник SMART LIGHT Van Gogh 24W RGB 3000-6500K

Особенность данного вида светильников - это возможность управления температурой свечения и световым потоком с помощью пульта управления. Простой в установке и практичный в использовании, светильник SmartLight поможет Вам сэкономить не только средства, но и время, ведь теперь для регулировки освещенности в помещении есть пульт.
В режиме максимального уровня освещенности, светильник SmartLight 24W RGB выдает 2200Lm светового потока, что позволит осветить помещение стандартного типа площадью до 15 м2

Также, светильник SmartLight 24W RGB обладает дополнительными функциями для удобства использования. Такими как:
<ul>
 	<li>изменение цветов освещения, функция RGB;</li>
 	<li>градация в процентах уровня освещенности (20%, 50%, 100%);</li>
 	<li>управление цветовой температурой от 3000К до 6500К;</li>
 	<li>режим ночника;</li>
 	<li>таймер автоматического выключения.</li>
</ul>";LED-SL-24W-N17(RGB);simple;0;1099.02;;134;LED светильники>LED светильники Винница|LED светильники>LED светильники Днепр|LED светильники>LED светильники Запорожье|LED светильники>LED светильники Одесса|LED светильники>LED светильники Харьков|LED светильники>LED светильники с пультом управления|АКЦИИ/РАСПРОДАЖА
